timestamp,machine_id,health_phase,fator_desgaste,temp_oleo,vibracao_motor,pressao_hidraulica,volatilidade_temp,volatilidade_vibracao,volatilidade_pressao
2025-07-22T11:56:23.983429,PH-085,0,507.89,62.75,1.95,209.89,1.0,1.0,1.0
2025-07-22T11:56:23.983662,PH-085,0,507.94,63.18,2.2,210.05,1.0,1.0,1.0
2025-07-22T11:56:23.983890,PH-085,0,507.99,63.41,1.99,209.91,1.0,1.0,1.0
2025-07-22T11:56:23.984190,PH-085,0,508.04,63.85,2.46,209.65,1.0,1.0,1.0
2025-07-22T11:56:23.984453,PH-085,0,508.09,63.69,2.89,210.12,1.0,1.0,1.0
2025-07-22T11:56:23.984693,PH-085,0,508.14,63.24,2.87,210.4,1.0,1.0,1.0
2025-07-22T11:56:23.984943,PH-085,0,508.19,62.86,2.9,210.73,1.0,1.0,1.0
2025-07-22T11:56:23.985180,PH-085,0,508.24,62.66,3.18,210.96,1.0,1.0,1.0
2025-07-22T11:56:23.985440,PH-085,0,508.29,62.49,3.38,210.67,1.0,1.0,1.0
2025-07-22T11:56:23.985671,PH-085,0,508.34,62.37,3.63,211.02,1.0,1.0,1.0
2025-07-22T11:56:23.985904,PH-085,0,508.39,62.72,3.86,211.4,1.0,1.0,1.0
2025-07-22T11:56:23.986135,PH-085,0,508.44,62.65,4.21,211.72,1.0,1.0,1.0
2025-07-22T11:56:23.986374,PH-085,0,508.49,62.59,4.29,211.92,1.0,1.0,1.0
2025-07-22T11:56:23.986604,PH-085,0,508.54,62.17,4.03,212.1,1.0,1.0,1.0
2025-07-22T11:56:23.986836,PH-085,0,508.59,61.98,4.28,211.87,1.0,1.0,1.0
2025-07-22T11:56:23.987068,PH-085,0,508.64,61.52,4.25,212.3,1.0,1.0,1.0
2025-07-22T11:56:23.987296,PH-085,0,508.69,61.15,4.63,212.79,1.0,1.0,1.0
2025-07-22T11:56:23.987533,PH-085,0,508.74,60.66,5.12,212.88,1.0,1.0,1.0
2025-07-22T11:56:23.987760,PH-085,0,508.79,60.3,5.37,212.95,1.0,1.0,1.0
2025-07-22T11:56:23.988004,PH-085,0,508.84,60.54,5.45,212.77,1.0,1.0,1.0
2025-07-22T11:56:23.988235,PH-085,0,508.89,60.35,5.79,213.02,1.0,1.0,1.0
2025-07-22T11:56:23.988467,PH-085,0,508.94,60.46,5.55,212.9,1.0,1.0,1.0
2025-07-22T11:56:23.988699,PH-085,0,508.99,60.08,5.09,212.54,1.0,1.0,1.0
2025-07-22T11:56:23.988949,PH-085,0,509.04,60.0,4.87,212.91,1.0,1.0,1.0
2025-07-22T11:56:24.358146,PH-085,0,509.09,59.73,5.14,213.01,1.0,1.0,1.0
2025-07-22T11:56:24.358377,PH-085,0,509.14,59.57,4.88,213.06,1.0,1.0,1.0
2025-07-22T11:56:24.358608,PH-085,0,509.19,59.26,5.33,213.53,1.0,1.0,1.0
2025-07-22T11:56:24.358865,PH-085,0,509.24,59.1,5.71,213.69,1.0,1.0,1.0
2025-07-22T11:56:24.359134,PH-085,0,509.29,59.14,5.43,213.9,1.0,1.0,1.0
2025-07-22T11:56:24.359383,PH-085,0,509.34,59.38,5.61,213.64,1.0,1.0,1.0
2025-07-22T11:56:24.359613,PH-085,0,509.39,58.96,5.51,213.63,1.0,1.0,1.0
2025-07-22T11:56:24.359845,PH-085,0,509.44,58.7,5.15,213.47,1.0,1.0,1.0
2025-07-22T11:56:24.360156,PH-085,0,509.49,58.31,5.32,213.89,1.0,1.0,1.0
2025-07-22T11:56:24.360444,PH-085,0,509.54,58.05,4.83,213.73,1.0,1.0,1.0
2025-07-22T11:56:24.360779,PH-085,0,509.59,58.29,4.64,213.84,1.0,1.0,1.0
2025-07-22T11:56:24.361032,PH-085,0,509.64,58.64,4.99,213.87,1.0,1.0,1.0
2025-07-22T11:56:24.361278,PH-085,0,509.69,58.91,5.04,213.96,1.0,1.0,1.0
2025-07-22T11:56:24.361514,PH-085,0,509.74,59.04,5.0,214.37,1.0,1.0,1.0
2025-07-22T11:56:24.361751,PH-085,0,509.79,59.18,5.38,214.29,1.0,1.0,1.0
2025-07-22T11:56:24.361986,PH-085,0,509.84,59.09,4.89,214.18,1.0,1.0,1.0
2025-07-22T11:56:24.362217,PH-085,0,509.89,59.45,5.24,213.92,1.0,1.0,1.0
2025-07-22T11:56:24.362465,PH-085,0,509.94,59.85,5.57,214.14,1.0,1.0,1.0
2025-07-22T11:56:24.362697,PH-085,0,509.99,59.36,5.23,213.83,1.0,1.0,1.0
2025-07-22T11:56:24.362926,PH-085,0,510.04,59.1,5.04,214.14,1.0,1.0,1.0
2025-07-22T11:56:24.363188,PH-085,0,510.09,59.06,4.58,214.44,1.0,1.0,1.0
2025-07-22T11:56:24.363421,PH-085,0,510.14,58.92,5.08,214.78,1.0,1.0,1.0
2025-07-22T11:56:24.363656,PH-085,0,510.19,59.26,5.1,215.14,1.0,1.0,1.0
2025-07-22T11:56:24.363893,PH-085,0,510.24,59.3,5.26,215.0,1.0,1.0,1.0
2025-07-22T11:56:24.735355,PH-085,0,510.29,59.24,5.22,214.76,1.0,1.0,1.0
2025-07-22T11:56:24.735606,PH-085,0,510.34,59.02,5.29,214.61,1.0,1.0,1.0
2025-07-22T11:56:24.735918,PH-085,0,510.39,59.09,5.26,214.38,1.0,1.0,1.0
